Engine Speed (rpm),Torque (ft-lb),Exh Mdot (kg/min),Cool Vdot (GPM),Turbo Out T,HX Exh In T,HX Exh Out T,HX Exh delta P (2 in WC),HX Cool 1 In T,HX Cool 1 Out T,HX Cool 1 delta P,HX Cool 2 In T,HX Cool 2 Out T,HX Cool 2 delta P
1200,33,4.5,7,,130.8,108,0.1,26.3,26.9,,26.5,27.6,
1200,33,4.55,7.1,,131.3,100,0.1,26.2,26.7,,26.3,27.5,
1210,158,6.5,7.3,,317.5,250.4,0.55,26.6,28.5,,26.7,31.3,
1210,158,6.56,7.2,,308.2,240.5,0.1,26.4,28.6,,26.5,31.1,
1400,214,5.4,7.3,,378.7,292.2,0.6,26.4,28.8,,26.6,32.2,
1400,214,5.42,7.2,,378.9,289.1,0.8,26.7,29.5,,26.8,32.5,
1610,38,6.1,7,,234.8,189.7,0.35,26.2,27.4,,26.4,29.5,
1610,38,6.13,7.1,,237.8,185.9,0.2,26.2,27.7,,26.3,29.6,
1620,297,7,7.3,,464.5,373.2,1,26.1,29.3,,26.3,33.8,
1620,297,7.17,7.2,,462.2,365.3,0.65,26.5,30.1,,26.6,33.9,
2000,36,8,7,,269.4,223.6,0.4,26,27.9,,26.4,30.6,
2000,36,7.94,7,,273.4,223.8,0.25,26.3,28.5,,26.5,30.8,
